2026-04-12T18:27:57.635Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:28:06.676Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: Software Engineer
2026-04-12T18:28:06.684Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:28:13.054Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:28:13.061Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:28:13.113Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:28:13.126Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-12T18:28:30.248Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: System Analyst
2026-04-12T18:28:30.256Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:05:02.234Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:05:02.248Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:05:13.298Z [INFO]: User 69dbd57b85958f40a4a6c87a deleted job | jobId: 69dbe40a6078c9b825195458
2026-04-13T06:05:13.315Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:05:15.619Z [INFO]: User 69dbd57b85958f40a4a6c87a deleted job | jobId: 69dbe44e6078c9b825195471
2026-04-13T06:05:15.637Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:05:19.765Z [INFO]: User 69dbd57b85958f40a4a6c87a deleted job | jobId: 69dbdd4c6078c9b825195400
2026-04-13T06:05:19.779Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:05:25.921Z [INFO]: User 69dbd57b85958f40a4a6c87a deleted job | jobId: 69dbe4156078c9b82519545c
2026-04-13T06:05:25.936Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:05:54.399Z [INFO]: User 69dbd57b85958f40a4a6c87a created job | title: Java Dev
2026-04-13T06:05:54.419Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:10:15.875Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:10:15.939Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:10:15.959Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:10:15.972Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:11:01.774Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:11:01.784Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:18:20.414Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:18:20.425Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:21:35.291Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:25:24.217Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:35:59.596Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:35:59.604Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:35:59.719Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:35:59.727Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:51:25.780Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:51:25.793Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:51:25.890Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:51:25.905Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:52:19.081Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T06:52:19.091Z [INFO]: User 69dbd57b85958f40a4a6c87a fetched jobs | query: {}
2026-04-13T14:27:57.705Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e fetched jobs | query: {}
2026-04-13T14:27:57.750Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e fetched jobs | query: {}
2026-04-13T14:28:07.609Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e created job | title: Softw Engg
2026-04-13T14:28:07.633Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e fetched jobs | query: {}
2026-04-13T14:28:21.669Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e created job | title: Sytm ANA
2026-04-13T14:28:21.698Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e fetched jobs | query: {}
2026-04-13T14:28:34.234Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e created job | title: Cloud Dev
2026-04-13T14:28:34.251Z [INFO]: User 69dcfb2f2c71e5ccf753cc5e fetched jobs | query: {}
